levelId,nbSentries,nbTrees,totalEnergy,heightGap,maxJump,codeST
0,1,16,30,0,22,63589488
1,1,17,31,0,23,26657424
2,1,19,33,1,21,70473693
3,1,11,25,0,17,48626791
4,1,23,37,0,29,94241566
5,1,22,36,0,28,21614821
6,1,22,36,0,28,45151883
7,1,13,27,0,19,49219629
8,1,14,28,0,20,77755547
9,1,24,38,0,30,78405956
10,2,26,43,0,35,08787481
11,2,15,32,0,24,54538086
12,2,24,41,0,33,96086475
13,2,16,33,0,25,71664005
14,2,20,37,0,29,86076867
15,2,25,42,0,34,19876496
16,2,13,30,0,22,44545550
17,2,18,35,0,27,38796274
18,2,20,37,0,29,71163975
19,2,22,39,0,31,29887600
20,3,22,42,0,34,77650927
21,3,22,42,0,34,96179589
22,3,26,46,0,38,59403787
23,2,22,39,0,31,77974837
24,2,24,41,1,29,36971075
25,3,30,50,0,42,05993719
26,3,18,38,0,30,74454072
27,3,25,45,0,37,75256057
28,2,20,37,0,29,98248747
29,3,14,34,0,26,03913986
30,3,14,34,0,26,98926298
31,2,16,33,0,25,29764687
32,4,25,48,0,40,87717819
33,1,25,39,0,31,77669404
34,1,30,44,0,36,56736905
35,4,20,43,0,35,92867041
36,2,25,42,1,30,40486766
37,3,12,32,1,20,06856789
38,2,19,36,0,28,65506867
39,3,31,51,0,43,96740418
40,5,20,46,0,38,18854704
41,4,25,48,1,36,96756579
42,2,12,29,0,21,67887349
43,3,26,46,0,38,40658770
44,3,18,38,0,30,65464697
45,2,22,39,0,31,18159455
46,4,18,41,0,33,78387688
47,1,20,34,0,26,88946757
48,4,31,54,1,42,57765168
49,2,22,39,0,31,88899484
50,2,26,43,0,35,88877661
51,3,24,44,1,32,63819469
52,1,22,36,0,28,59548975
53,6,22,51,2,35,52308715
54,6,17,46,0,38,68599814
55,1,23,37,0,29,08182275
56,3,26,46,0,38,57851443
57,2,18,35,0,27,59446976
58,3,29,49,0,41,65855947
59,2,25,42,0,34,48439574
60,7,15,47,0,39,65155664
61,1,17,31,1,19,88694974
62,3,24,44,0,36,97656787
63,2,17,34,0,26,48880589
64,2,24,41,0,33,44491140
65,3,18,38,0,30,94634608
66,1,20,34,0,26,49396615
67,6,19,48,0,40,96955912
68,1,18,32,0,24,21433764
69,5,24,50,1,38,55454794
70,3,26,46,0,38,62793765
71,2,26,43,0,35,33586247
72,4,22,45,0,37,69634783
73,2,25,42,0,34,39364093
74,3,17,37,0,29,86447909
75,4,28,51,0,43,29267906
76,2,19,36,0,28,12852574
77,3,12,32,0,24,65656266
78,2,16,33,0,25,70673552
79,3,22,42,0,34,06932271
80,2,25,42,0,34,88696595
81,3,15,35,0,27,22607536
82,3,19,39,0,31,62976709
83,4,29,52,0,44,43977196
84,4,25,48,0,40,56487688
85,2,27,44,0,36,92889540
86,3,14,34,0,26,02166969
87,2,13,30,0,22,98394169
88,3,24,44,0,36,69572284
89,2,16,33,1,21,39188647
90,1,12,26,0,18,23588937
91,6,19,48,0,40,12415634
92,2,19,36,0,28,58859477
93,3,18,38,0,30,33282125
94,3,20,40,0,32,28294994
95,2,28,45,0,37,99348357
96,3,22,42,1,30,51080925
97,1,28,42,0,34,74976881
98,5,18,44,0,36,26458581
99,1,28,42,0,34,56157984
100,4,28,51,0,43,91680888
101,4,20,43,0,35,87354969
102,3,14,34,0,26,53304135
103,2,28,45,0,37,73766948
104,2,14,31,0,23,31686498
105,3,22,42,0,34,06645859
106,1,25,39,0,31,57649461
107,4,30,53,0,45,74733891
108,2,16,33,0,25,70431969
109,4,28,51,0,43,75410975
110,3,15,35,0,27,99947605
111,2,12,29,1,17,35112835
112,5,28,54,0,46,92945892
113,1,29,43,1,31,48996484
114,1,17,31,0,23,80913692
115,5,26,52,1,40,59549907
116,2,30,47,0,39,88667257
117,3,28,48,0,40,91616565
118,2,20,37,0,29,95959716
119,3,30,50,0,42,79854657
120,1,22,36,0,28,35645495
121,5,23,49,0,41,62551403
122,2,21,38,0,30,64869119
123,3,14,34,0,26,17135529
124,3,26,46,0,38,47578848
125,2,18,35,0,27,59189224
126,5,28,54,0,46,95458538
127,1,24,38,0,30,97855185
128,6,18,47,0,39,57240068
129,1,18,32,1,20,14553746
130,2,15,32,0,24,14139294
131,3,26,46,0,38,81468485
132,2,21,38,1,26,78246737
133,4,12,35,0,27,68807895
134,4,15,38,0,30,58608886
135,3,21,41,0,33,44719924
136,3,27,47,0,39,96456855
137,2,14,31,2,15,81076336
138,3,28,48,0,40,60566597
139,2,16,33,0,25,88516594
140,5,21,47,0,39,84891485
141,1,16,30,0,22,28959534
142,3,23,43,0,35,49652969
143,2,30,47,0,39,57921424
144,2,16,33,0,25,64558555
145,3,13,33,0,25,36864458
146,1,31,45,0,37,13081446
147,5,22,48,0,40,65843767
148,1,26,40,0,32,59886295
149,6,19,48,1,36,57230658
150,3,19,39,0,31,21928584
151,2,15,32,0,24,97650365
152,4,28,51,0,43,59847059
153,2,17,34,0,26,89284482
154,3,24,44,0,36,85594556
155,4,21,44,0,36,88454809
156,2,30,47,0,39,99076986
157,3,16,36,0,28,69748378
158,2,26,43,0,35,48566274
159,3,13,33,0,25,45462773
160,4,28,51,0,43,73959799
161,4,25,48,0,40,97676649
162,2,28,45,0,37,87804759
163,3,23,43,0,35,67855936
164,3,26,46,0,38,05934741
165,2,19,36,0,28,48944963
166,4,21,44,0,36,22667494
167,2,18,35,0,27,15718558
168,4,10,33,0,25,64998798
169,2,28,45,0,37,97551947
170,2,32,49,0,41,50321244
171,3,23,43,0,35,58788589
172,1,17,31,0,23,69128576
173,5,29,55,0,47,15899488
174,5,26,52,0,44,08492687
175,1,15,29,0,21,76736006
176,3,20,40,0,32,58974657
177,2,20,37,0,29,59705841
