step,levelId,codeST,secondarySentries,maxJump,jumpToNext
0,0,63589488,0,22,15
1,15,19876496,1,34,33
2,48,57765168,3,42,35
3,83,43977196,3,44,36
4,119,79854657,2,42,41
5,160,73959799,3,43,36
6,196,59785957,3,39,36
7,232,26595997,4,41,37
8,269,95426941,5,50,50
9,319,69820216,2,39,35
10,354,27482240,3,43,39
11,393,65428328,1,41,39
12,432,67799235,3,38,33
13,465,35866911,2,44,33
14,498,67165789,3,40,40
15,538,37762154,2,35,35
16,573,23815545,3,45,40
17,613,72996705,5,51,43
18,656,85874470,2,44,42
19,698,69295047,3,37,36
20,734,48232232,4,39,39
21,773,40298688,3,45,40
22,813,16274986,2,38,38
23,851,87940125,5,44,36
24,887,73645986,2,40,37
25,924,50770467,4,46,41
26,965,42464052,3,34,31
27,996,58777316,1,40,40
28,1036,76784926,5,51,38
29,1074,44490774,3,42,42
30,1116,99544548,4,43,42
31,1158,48589370,4,40,36
32,1194,48755444,4,46,44
33,1238,50335783,5,45,38
34,1276,81265745,4,43,38
35,1314,97571158,3,43,42
36,1356,19898983,4,49,48
37,1404,73876905,0,36,36
38,1440,84484978,3,39,38
39,1478,25463754,5,38,38
40,1516,79039573,4,41,40
41,1556,13827997,5,51,44
42,1600,73554654,3,42,42
43,1642,50496548,5,49,40
44,1682,96976745,3,41,37
45,1719,89595547,3,42,39
46,1758,97589184,5,39,38
47,1796,71345429,3,46,40
48,1836,14858974,3,42,41
49,1877,55156469,2,40,39
50,1916,60487961,3,45,44
51,1960,45764531,4,41,38
52,1998,14932067,4,44,44
53,2042,84892502,4,43,43
54,2085,24798285,4,46,38
55,2123,11750988,3,47,45
56,2168,17075426,2,43,39
57,2207,46637811,5,51,44
58,2251,65683190,3,42,40
59,2291,55795792,3,40,36
60,2327,31866895,5,51,48
61,2375,94778057,5,46,46
62,2421,82987157,5,45,43
63,2464,74614227,4,42,40
64,2504,87633843,4,45,43
65,2547,57577226,2,44,36
66,2583,16449808,5,49,45
67,2628,33765308,5,50,43
68,2671,36576381,4,45,45
69,2716,38755745,4,45,37
70,2753,72793989,5,47,43
71,2796,74176320,5,51,50
72,2846,54585170,3,40,39
73,2885,42909443,4,50,44
74,2929,08856780,4,43,41
75,2970,58099355,5,48,44
76,3014,33561388,5,47,46
77,3060,74294050,5,46,46
78,3106,59265690,4,49,40
79,3146,59504046,4,43,40
80,3186,97350946,2,41,41
81,3227,45645607,5,46,40
82,3267,30409938,5,42,40
83,3307,47684931,5,48,47
84,3354,64335878,4,49,47
85,3401,49749055,5,47,45
86,3446,62503396,5,40,37
87,3483,74740907,5,51,42
88,3525,42785795,3,45,40
89,3565,65611995,3,43,40
90,3605,78989463,3,44,41
91,3646,94752769,5,48,44
92,3690,83156721,4,34,34
93,3724,39321864,5,50,42
94,3766,42528619,5,45,44
95,3810,85414759,4,48,41
96,3851,41258167,5,49,44
97,3895,75894628,4,44,41
98,3936,39893086,5,40,40
99,3976,74124976,5,44,43
100,4019,84093969,5,50,44
101,4063,44186633,5,48,48
102,4111,26186687,5,51,45
103,4156,34845746,5,42,41
104,4197,40844398,5,39,39
105,4236,24018196,5,51,51
106,4287,49972247,5,44,43
107,4330,79650523,5,48,47
108,4377,62628381,5,42,40
109,4417,77849535,5,37,36
110,4453,72734449,5,44,43
111,4496,27897844,5,47,45
112,4541,74169939,4,45,45
113,4586,84888455,5,47,45
114,4631,46875762,5,44,38
115,4669,72471287,3,46,42
116,4711,58788347,5,48,45
117,4756,44146389,5,50,37
118,4793,54497814,5,47,47
119,4840,78294230,5,48,45
120,4885,48414496,5,48,44
121,4929,28575766,5,46,46
122,4975,48789874,5,45,44
123,5019,94898563,3,46,45
124,5064,72199599,5,46,46
125,5110,99366556,4,45,40
126,5150,28846584,5,51,38
127,5188,49556578,5,46,42
128,5230,67074208,4,42,35
129,5265,28853294,4,44,40
130,5305,95882758,5,48,33
131,5338,86397687,5,49,40
132,5378,45875694,4,46,33
133,5411,68578745,4,46,40
134,5451,28508107,5,44,42
135,5493,54776680,5,50,44
136,5537,60837185,5,50,40
137,5577,68764914,4,42,41
138,5618,81789756,4,36,33
139,5651,76016146,5,50,42
140,5693,80196946,5,51,43
141,5736,99700579,4,41,35
142,5771,37501468,5,43,37
143,5808,74742945,4,49,33
144,5841,74467601,5,51,42
145,5883,91965894,5,38,37
146,5920,01509842,5,44,41
147,5961,58554147,5,45,35
148,5996,07905689,1,32,32
149,6028,78784068,5,45,44
150,6072,96752643,5,40,37
151,6109,47897569,5,46,44
152,6153,65970149,4,48,46
153,6199,19046215,5,51,51
154,6250,77475074,3,38,37
155,6287,75492384,5,48,33
156,6320,31500548,5,45,31
157,6351,16613875,5,49,42
158,6393,86202657,5,51,39
159,6432,79420710,4,46,15
160,6447,84930060,4,47,43
161,6490,88577287,5,40,36
162,6526,57998709,5,49,47
163,6573,53114098,5,42,36
164,6609,99197585,3,42,41
165,6650,43078867,4,47,46
166,6696,68907949,5,47,44
167,6740,52652587,4,38,33
168,6773,53694506,4,38,36
169,6809,99917444,5,31,25
170,6834,82839646,5,49,43
171,6877,29195757,5,37,36
172,6913,99855454,5,43,37
