step,levelId,codeST,secondarySentries,maxJump,jumpToNext
0,0,63589488,0,22,6
1,6,45151883,0,28,28
2,34,56736905,0,36,32
3,66,49396615,0,26,24
4,90,23588937,0,18,7
5,97,74976881,0,34,23
6,120,35645495,0,28,26
7,146,13081446,0,37,37
8,183,07651631,0,23,17
9,200,85076349,0,29,7
10,207,98296380,0,32,26
11,233,09877081,0,30,22
12,255,06864565,0,30,30
13,285,72487397,0,29,12
14,297,87726753,0,23,23
15,320,71378655,0,29,28
16,348,66718592,0,37,36
17,384,72997226,0,28,28
18,412,82897777,0,28,9
19,421,73469535,0,31,26
20,447,69188267,0,31,26
21,473,79596777,0,31,28
22,501,60664655,0,33,31
23,532,04599852,0,22,21
24,553,74575044,0,22,14
25,567,75707487,0,32,29
26,596,87667295,0,30,25
27,621,47832335,0,28,26
28,647,18547987,0,29,26
29,673,00449549,0,27,9
30,682,39175078,0,37,24
31,706,12801049,0,34,33
32,739,32404984,1,38,21
33,760,07578985,0,34,31
34,791,57865885,0,31,28
35,819,16208408,0,29,12
36,831,00909692,0,37,28
37,859,75958551,0,36,36
38,895,79987885,0,37,30
39,925,86150657,0,33,33
40,958,33796794,0,34,33
41,991,61442799,1,36,27
42,1018,44541414,0,30,23
43,1041,01631929,2,42,38
44,1079,46457929,0,27,23
45,1102,93655998,0,33,29
46,1131,83055824,0,17,5
47,1136,61469778,0,16,14
48,1150,39437597,0,25,13
49,1163,05958715,0,32,29
50,1192,52465064,0,28,24
51,1216,38519733,0,28,27
52,1243,95622784,0,36,36
53,1279,94767767,0,33,31
54,1310,76676724,1,36,28
55,1338,18204257,0,25,21
56,1359,76230854,0,31,17
57,1376,43479955,1,33,27
58,1403,65786798,0,28,27
59,1430,18480056,0,33,26
60,1456,15545489,0,32,30
61,1486,49869311,1,37,33
62,1519,47375891,0,33,26
63,1545,96645005,0,25,18
64,1563,98856757,1,28,26
65,1589,97557994,0,21,15
66,1604,44979438,2,37,35
67,1639,66554554,0,25,19
68,1658,95614748,0,25,23
69,1681,48527551,1,35,29
70,1710,72394195,0,23,7
71,1717,94146098,0,28,25
72,1742,19457996,0,31,29
73,1771,90565474,0,27,9
74,1780,90939292,0,34,33
75,1813,66556874,0,17,16
76,1829,63516798,0,30,19
77,1848,73051666,0,36,21
78,1869,84089687,1,37,31
79,1900,81207635,0,31,26
80,1926,40996984,1,34,26
81,1952,46921324,0,38,38
82,1990,41971728,0,30,16
83,2006,44543726,1,34,29
84,2035,24045813,1,33,32
85,2067,49993756,1,26,24
86,2091,56425886,1,33,30
87,2121,56383985,0,25,19
88,2140,55118496,0,25,9
89,2149,60192616,1,26,24
90,2173,39814193,0,21,12
91,2185,65589703,0,20,16
92,2201,62837968,0,30,26
93,2227,95145905,2,37,33
94,2260,99263655,0,30,23
95,2283,80907711,2,43,38
96,2321,40455337,1,30,26
97,2347,20136435,1,31,27
98,2374,92691660,1,30,27
99,2401,77279190,2,30,26
100,2427,09946251,0,24,19
101,2446,76474746,0,34,29
102,2475,58557445,0,29,8
103,2483,29021391,0,28,26
104,2509,46629002,0,35,24
105,2533,34150275,1,25,22
106,2555,78487493,1,37,35
107,2590,54991786,1,37,30
108,2620,84163577,1,33,28
109,2648,35979877,0,37,24
110,2672,09887667,1,37,35
111,2707,69975017,0,29,27
112,2734,75649870,0,34,32
113,2766,77473554,0,28,24
114,2790,07420649,0,18,14
115,2804,74048426,1,29,26
116,2830,04964958,1,29,28
117,2858,51980454,0,32,28
118,2886,45658344,2,36,31
119,2917,98914646,0,29,28
120,2945,25664298,0,32,31
121,2976,37648105,0,22,4
122,2980,34889605,0,27,25
123,3005,04877717,1,30,26
124,3031,52574797,0,24,5
125,3036,94189805,1,33,21
126,3057,74326555,1,35,35
127,3092,56547572,1,23,19
128,3111,34936507,2,40,40
129,3151,37858124,3,37,35
130,3186,97350946,2,41,39
131,3225,64198342,1,35,34
132,3259,35029390,1,28,28
133,3287,36481599,3,41,35
134,3322,27887888,0,35,22
135,3344,76912830,1,39,37
136,3381,65685041,1,30,22
137,3403,96889019,1,40,31
138,3434,85492126,4,45,44
139,3478,37513635,0,27,26
140,3504,78788822,0,25,15
141,3519,04629482,1,35,32
142,3551,47048024,1,19,11
143,3562,49559071,1,33,32
144,3594,09138551,1,28,23
145,3617,58146275,0,25,25
146,3642,85676076,1,30,29
147,3671,17098061,1,30,16
148,3687,85038988,1,30,17
149,3704,48594045,2,36,35
150,3739,85773018,0,30,26
151,3765,76103264,2,35,35
152,3800,72278480,1,28,9
153,3809,92567755,2,36,25
154,3834,75557890,0,21,18
155,3852,92699850,1,20,14
156,3866,29746849,0,30,19
157,3885,29484684,3,42,35
158,3920,44904859,2,31,28
159,3948,97071986,0,32,27
160,3975,58090533,2,40,34
161,4009,97891495,2,29,24
162,4033,88414865,3,40,39
163,4072,65105648,1,40,27
164,4099,71376450,1,23,21
165,4120,63830281,1,23,21
166,4141,51965475,0,16,5
167,4146,07796918,2,34,26
168,4172,97289869,1,32,24
169,4196,69944434,4,39,37
170,4233,59504449,1,32,28
171,4261,11877244,1,33,29
172,4290,47093409,2,33,24
173,4314,60584513,3,38,34
174,4348,22999455,2,37,24
175,4372,69885743,3,43,43
176,4415,88690865,1,31,25
177,4440,76499364,2,38,34
178,4474,59398690,0,24,8
179,4482,81658629,1,30,26
180,4508,45661599,0,26,24
181,4532,04994475,3,37,37
182,4569,52533142,1,36,29
183,4598,67093435,2,27,23
184,4621,89659811,3,44,42
185,4663,86496747,5,43,43
186,4706,69835388,1,31,26
187,4732,51759877,2,38,35
188,4767,77570096,0,28,24
189,4791,27568928,1,35,33
190,4824,94730289,4,35,35
191,4859,22848263,1,30,21
192,4880,74629407,4,45,45
193,4925,55348949,1,33,25
194,4950,43334754,2,36,31
195,4981,64554888,0,25,23
196,5004,86695268,0,25,15
