step,levelId,codeST,secondarySentries,maxJump,jumpToNext
0,0,63589488,0,22,4
1,4,94241566,0,29,21
2,25,05993719,2,42,42
3,67,96955912,5,40,33
4,100,91680888,3,43,36
5,136,96456855,2,39,37
6,173,15899488,4,47,40
7,213,81547765,3,41,38
8,251,86684580,2,34,31
9,282,89762683,4,48,46
10,328,47650633,4,46,39
11,367,43540551,1,41,41
12,408,13604592,3,40,38
13,446,24545148,4,40,37
14,483,93838973,4,48,44
15,527,73398827,2,40,39
16,566,83057319,7,49,41
17,607,11598910,3,42,39
18,646,90137422,6,45,38
19,684,72500186,5,49,42
20,726,45989693,3,43,40
21,766,75038982,4,42,38
22,804,66804857,7,43,41
23,845,76690341,7,51,48
24,893,79033806,7,51,51
25,944,16374778,0,34,34
26,978,56675278,7,49,39
27,1017,92591949,4,44,40
28,1057,64644396,5,40,39
29,1096,57956571,2,42,41
30,1137,14688464,4,49,44
31,1181,49149796,6,48,47
32,1228,89823322,3,39,36
33,1264,28746843,7,50,47
34,1311,85597090,5,42,42
35,1353,17474279,3,44,44
36,1397,50818912,2,42,41
37,1438,28455539,4,38,38
38,1476,80047437,6,51,40
39,1516,79039573,4,41,36
40,1552,14887993,2,42,42
41,1594,75844124,5,46,39
42,1633,77755787,3,45,45
43,1678,44493161,6,44,41
44,1719,89595547,3,42,37
45,1756,33560788,6,47,46
46,1802,33867943,3,46,44
47,1846,87114954,2,41,41
48,1887,56855515,3,41,40
49,1927,52635664,6,47,42
50,1969,45865446,4,48,46
51,2015,02743615,7,51,46
52,2061,37987835,5,42,40
53,2101,75929567,6,48,47
54,2148,93349946,5,51,46
55,2194,98534720,4,40,39
56,2233,89434647,5,49,49
57,2282,65547925,6,45,45
58,2327,31866895,5,51,48
59,2375,94778057,5,46,46
60,2421,82987157,5,45,43
61,2464,74614227,4,42,40
62,2504,87633843,4,45,43
63,2547,57577226,2,44,36
64,2583,16449808,5,49,45
65,2628,33765308,5,50,43
66,2671,36576381,4,45,43
67,2714,95866371,6,51,39
68,2753,72793989,5,47,43
69,2796,74176320,5,51,46
70,2842,75615197,7,47,43
71,2885,42909443,4,50,44
72,2929,08856780,4,43,41
73,2970,58099355,5,48,41
74,3011,68294853,7,51,51
75,3062,29404849,6,49,48
76,3110,09914897,6,50,49
77,3159,27773576,7,49,47
78,3206,19564486,5,48,48
79,3254,11759350,5,49,48
80,3302,08892953,7,50,43
81,3345,85950552,6,50,50
82,3395,87728492,7,50,44
83,3439,93241869,7,44,38
84,3477,71779992,6,51,40
85,3517,95379257,7,44,42
86,3559,29517006,6,51,44
87,3603,49694359,7,45,43
88,3646,94752769,5,48,47
89,3693,33781099,7,51,45
90,3738,74194969,6,40,40
91,3778,57068476,7,50,42
92,3820,78059969,7,51,49
93,3869,96485144,6,47,46
94,3915,46710561,6,48,48
95,3963,66944649,5,50,43
96,4006,49350536,7,51,50
97,4056,57864688,6,45,42
98,4098,99747797,7,49,49
99,4147,79150195,7,51,51
100,4198,79090177,4,45,45
101,4243,59960946,6,51,45
102,4288,14671674,6,51,43
103,4331,48945997,6,50,49
104,4380,74168525,6,51,47
105,4427,75168778,7,51,50
106,4477,73846214,6,51,46
107,4523,98777613,6,51,50
108,4573,74857484,5,47,47
109,4620,26564405,7,51,49
110,4669,72471287,3,46,46
111,4715,71514449,5,49,49
112,4764,56988687,6,49,49
113,4813,34873295,6,47,45
114,4858,04189448,7,51,51
115,4909,74139487,6,47,40
116,4949,89794746,6,51,46
117,4995,38693675,6,50,45
118,5040,45475658,7,51,45
119,5085,79404735,7,47,43
120,5128,44839966,6,51,49
121,5177,54776964,7,51,49
122,5226,44246585,7,48,47
123,5273,86228899,7,51,49
124,5322,77062046,7,51,50
125,5372,88705172,7,48,42
126,5414,91547352,6,48,48
127,5462,45509513,5,49,49
128,5511,12196961,6,51,50
129,5561,04991906,6,48,44
130,5605,77267992,6,48,46
131,5651,76016146,5,50,50
132,5701,58901907,7,51,47
133,5748,51952691,7,51,49
134,5797,99114754,6,49,47
135,5844,86440571,6,51,50
136,5894,58891516,6,51,49
137,5943,94657748,7,51,48
138,5991,49434534,7,51,47
139,6038,96959444,7,48,48
140,6086,73407609,7,51,50
141,6136,38472742,7,51,48
142,6184,98289234,7,51,49
143,6233,51565824,6,48,46
144,6279,72401864,7,51,49
145,6328,59965635,6,51,50
146,6378,52610473,7,51,50
