step,levelId,codeST,secondarySentries,maxJump,jumpToNext
0,0,63589488,0,22,15
1,15,19876496,1,34,33
2,48,57765168,3,42,35
3,83,43977196,3,44,43
4,126,95458538,4,46,44
5,170,50321244,1,41,41
6,211,92681647,2,38,37
7,248,01711254,3,36,34
8,282,89762683,4,48,44
9,326,54464476,5,42,41
10,367,43540551,1,41,41
11,408,13604592,3,40,38
12,446,24545148,4,40,37
13,483,93838973,4,48,44
14,527,73398827,2,40,39
15,566,83057319,7,49,41
16,607,11598910,3,42,39
17,646,90137422,6,45,38
18,684,72500186,5,49,42
19,726,45989693,3,43,40
20,766,75038982,4,42,38
21,804,66804857,7,43,41
22,845,76690341,7,51,42
23,887,73645986,2,40,37
24,924,50770467,4,46,41
25,965,42464052,3,34,31
26,996,58777316,1,40,40
27,1036,76784926,5,51,38
28,1074,44490774,3,42,42
29,1116,99544548,4,43,42
30,1158,48589370,4,40,36
31,1194,48755444,4,46,42
32,1236,33476558,7,51,51
33,1287,79798291,4,40,35
34,1322,86664405,5,50,48
35,1370,98898978,5,42,40
36,1410,76383544,7,51,47
37,1457,14564578,4,45,40
38,1497,96958985,3,43,42
39,1539,43257187,6,46,42
40,1581,75340266,4,42,42
41,1623,60598757,5,50,48
42,1671,56831310,5,47,42
43,1713,77974968,3,43,43
44,1756,33560788,6,47,46
45,1802,33867943,3,46,44
46,1846,87114954,2,41,41
47,1887,56855515,3,41,40
48,1927,52635664,6,47,42
49,1969,45865446,4,48,46
50,2015,02743615,7,51,46
51,2061,37987835,5,42,40
52,2101,75929567,6,48,47
53,2148,93349946,5,51,46
54,2194,98534720,4,40,39
55,2233,89434647,5,49,49
56,2282,65547925,6,45,45
57,2327,31866895,5,51,48
58,2375,94778057,5,46,46
59,2421,82987157,5,45,43
60,2464,74614227,4,42,40
61,2504,87633843,4,45,43
62,2547,57577226,2,44,36
63,2583,16449808,5,49,45
64,2628,33765308,5,50,43
65,2671,36576381,4,45,43
66,2714,95866371,6,51,39
67,2753,72793989,5,47,43
68,2796,74176320,5,51,46
69,2842,75615197,7,47,43
70,2885,42909443,4,50,44
71,2929,08856780,4,43,41
72,2970,58099355,5,48,41
73,3011,68294853,7,51,51
74,3062,29404849,6,49,48
75,3110,09914897,6,50,49
76,3159,27773576,7,49,47
77,3206,19564486,5,48,48
78,3254,11759350,5,49,48
79,3302,08892953,7,50,40
80,3342,97987667,6,48,48
81,3390,94866776,5,48,44
82,3434,85492126,4,45,43
83,3477,71779992,6,51,40
84,3517,95379257,7,44,42
85,3559,29517006,6,51,44
86,3603,49694359,7,45,43
87,3646,94752769,5,48,47
88,3693,33781099,7,51,45
89,3738,74194969,6,40,40
90,3778,57068476,7,50,42
91,3820,78059969,7,51,49
92,3869,96485144,6,47,46
93,3915,46710561,6,48,48
94,3963,66944649,5,50,43
95,4006,49350536,7,51,50
96,4056,57864688,6,45,42
97,4098,99747797,7,49,49
98,4147,79150195,7,51,42
99,4189,79376896,6,47,47
100,4236,24018196,5,51,51
101,4287,49972247,5,44,44
102,4331,48945997,6,50,49
103,4380,74168525,6,51,47
104,4427,75168778,7,51,50
105,4477,73846214,6,51,46
106,4523,98777613,6,51,50
107,4573,74857484,5,47,47
108,4620,26564405,7,51,49
109,4669,72471287,3,46,46
110,4715,71514449,5,49,49
111,4764,56988687,6,49,49
112,4813,34873295,6,47,45
113,4858,04189448,7,51,51
114,4909,74139487,6,47,40
115,4949,89794746,6,51,46
116,4995,38693675,6,50,45
117,5040,45475658,7,51,45
118,5085,79404735,7,47,43
119,5128,44839966,6,51,49
120,5177,54776964,7,51,49
121,5226,44246585,7,48,47
122,5273,86228899,7,51,49
123,5322,77062046,7,51,47
124,5369,75490976,7,47,45
125,5414,91547352,6,48,48
126,5462,45509513,5,49,49
127,5511,12196961,6,51,50
128,5561,04991906,6,48,44
129,5605,77267992,6,48,46
130,5651,76016146,5,50,50
131,5701,58901907,7,51,47
132,5748,51952691,7,51,49
133,5797,99114754,6,49,47
134,5844,86440571,6,51,50
135,5894,58891516,6,51,49
136,5943,94657748,7,51,48
137,5991,49434534,7,51,47
138,6038,96959444,7,48,48
139,6086,73407609,7,51,50
140,6136,38472742,7,51,48
141,6184,98289234,7,51,49
142,6233,51565824,6,48,46
143,6279,72401864,7,51,49
144,6328,59965635,6,51,50
145,6378,52610473,7,51,50
146,6428,26932536,7,51,51
147,6479,47794228,7,51,45
148,6524,98211765,7,51,47
149,6571,87129718,7,51,50
150,6621,79607947,7,50,49
151,6670,47555257,7,47,46
152,6716,97781667,6,47,47
153,6763,85975366,7,51,45
154,6808,86412589,7,51,51
155,6859,98742208,6,47,47
156,6906,45769734,7,51,47
157,6953,09435482,6,51,50
158,7003,87648984,6,51,49
159,7052,76884887,6,49,42
160,7094,93114146,6,49,47
161,7141,95866191,6,51,51
162,7192,86374565,7,51,51
163,7243,63205029,7,51,44
164,7287,56656043,6,51,51
165,7338,61628516,7,51,48
166,7386,80965929,7,51,49
167,7435,96600189,7,50,48
168,7483,95475115,6,49,45
169,7528,39981550,7,51,43
170,7571,63044947,6,50,47
171,7618,27876737,6,51,50
172,7668,97941871,7,51,47
