sweep 6000: WON +36 | transfers 7 | failures 0 | retries 0 | bucket won | max 50
sweep 6001: WON +36 | transfers 7 | failures 0 | retries 0 | bucket won | max 42
sweep 6002: WON +47 | transfers 8 | failures 1 | retries 0 | bucket won | max 49
sweep 6003: WON +42 | transfers 8 | failures 0 | retries 0 | bucket won | max 51
sweep 6004: WON +26 | transfers 5 | failures 0 | retries 0 | bucket won | max 44
sweep 6005: WON +42 | transfers 6 | failures 0 | retries 0 | bucket won | max 51
sweep 6006: WON +35 | transfers 8 | failures 0 | retries 0 | bucket won | max 44
sweep 6007: WON +28 | transfers 6 | failures 0 | retries 0 | bucket won | max 47
sweep 6008: WON +37 | transfers 6 | failures 0 | retries 0 | bucket won | max 43
sweep 6009: WON +25 | transfers 7 | failures 0 | retries 0 | bucket won | max 28
sweep 6010: WON +42 | transfers 7 | failures 0 | retries 0 | bucket won | max 44
sweep 6011: WON +38 | transfers 6 | failures 0 | retries 0 | bucket won | max 44
sweep 6012: WON +36 | transfers 8 | failures 0 | retries 0 | bucket won | max 41
sweep 6013: WON +27 | transfers 7 | failures 0 | retries 0 | bucket won | max 36
sweep 6014: WON +29 | transfers 5 | failures 0 | retries 0 | bucket won | max 48
sweep 6015: WON +30 | transfers 7 | failures 0 | retries 0 | bucket won | max 47
sweep 6016: WON +35 | transfers 7 | failures 0 | retries 1 | bucket won | max 40
sweep 6017: WON +33 | transfers 7 | failures 0 | retries 2 | bucket won | max 35
sweep 6018: LOST | transfers 5 | failures 0 | retries 1 | bucket never-reached-assault-position | max 45
sweep 6019: WON +42 | transfers 8 | failures 0 | retries 0 | bucket won | max 46
sweep 6020: WON +38 | transfers 9 | failures 1 | retries 2 | bucket won | max 49
sweep 6021: WON +28 | transfers 11 | failures 0 | retries 1 | bucket won | max 49
sweep 6022: WON +25 | transfers 8 | failures 0 | retries 0 | bucket won | max 48
sweep 6023: WON +41 | transfers 6 | failures 0 | retries 0 | bucket won | max 51
sweep 6024: WON +37 | transfers 6 | failures 0 | retries 0 | bucket won | max 48
sweep 6025: WON +36 | transfers 5 | failures 0 | retries 0 | bucket won | max 45
sweep 6026: WON +44 | transfers 5 | failures 0 | retries 1 | bucket won | max 49
sweep 6027: WON +23 | transfers 6 | failures 0 | retries 0 | bucket won | max 33
sweep 6028: WON +39 | transfers 7 | failures 3 | retries 0 | bucket won | max 45
sweep 6029: LOST | transfers 3 | failures 0 | retries 0 | bucket never-reached-assault-position | max 42
sweep 6030: WON +42 | transfers 6 | failures 1 | retries 0 | bucket won | max 44
sweep 6031: WON +40 | transfers 8 | failures 0 | retries 0 | bucket won | max 47
sweep 6032: WON +40 | transfers 5 | failures 1 | retries 2 | bucket won | max 49
sweep 6033: WON +34 | transfers 8 | failures 0 | retries 0 | bucket won | max 40
sweep 6034: WON +37 | transfers 6 | failures 0 | retries 1 | bucket won | max 42
sweep 6035: WON +35 | transfers 6 | failures 0 | retries 1 | bucket won | max 40
sweep 6036: WON +31 | transfers 5 | failures 2 | retries 0 | bucket won | max 40
sweep 6037: WON +44 | transfers 8 | failures 0 | retries 0 | bucket won | max 46
sweep 6038: WON +39 | transfers 8 | failures 1 | retries 2 | bucket won | max 48
sweep 6039: WON +38 | transfers 8 | failures 0 | retries 0 | bucket won | max 51
sweep 6040: WON +42 | transfers 6 | failures 0 | retries 0 | bucket won | max 51
sweep 6041: WON +35 | transfers 5 | failures 0 | retries 0 | bucket won | max 47
sweep 6042: WON +37 | transfers 6 | failures 0 | retries 0 | bucket won | max 43
sweep 6043: WON +38 | transfers 6 | failures 0 | retries 0 | bucket won | max 51
sweep 6044: WON +34 | transfers 6 | failures 0 | retries 0 | bucket won | max 39
sweep 6045: WON +43 | transfers 9 | failures 0 | retries 1 | bucket won | max 51
sweep 6046: WON +34 | transfers 8 | failures 0 | retries 0 | bucket won | max 45
sweep 6047: WON +37 | transfers 10 | failures 0 | retries 1 | bucket won | max 47
sweep 6048: WON +27 | transfers 7 | failures 0 | retries 0 | bucket won | max 37
sweep 6049: WON +35 | transfers 7 | failures 1 | retries 0 | bucket won | max 42
sweep 6050: WON +31 | transfers 5 | failures 0 | retries 1 | bucket won | max 35
sweep 6051: WON +37 | transfers 7 | failures 0 | retries 0 | bucket won | max 42
sweep 6052: WON +38 | transfers 6 | failures 1 | retries 1 | bucket won | max 51
sweep 6053: WON +29 | transfers 6 | failures 0 | retries 1 | bucket won | max 41
sweep 6054: WON +41 | transfers 8 | failures 0 | retries 0 | bucket won | max 45
sweep 6055: WON +29 | transfers 9 | failures 1 | retries 2 | bucket won | max 38
sweep 6056: WON +36 | transfers 10 | failures 1 | retries 3 | bucket won | max 51
sweep 6057: WON +33 | transfers 9 | failures 1 | retries 3 | bucket won | max 39
sweep 6058: WON +32 | transfers 5 | failures 0 | retries 0 | bucket won | max 39
sweep 6059: WON +42 | transfers 5 | failures 0 | retries 0 | bucket won | max 44
sweep 6060: WON +39 | transfers 7 | failures 0 | retries 1 | bucket won | max 44
sweep 6061: WON +26 | transfers 7 | failures 0 | retries 1 | bucket won | max 47
sweep 6062: WON +33 | transfers 5 | failures 0 | retries 0 | bucket won | max 48
sweep 6063: WON +40 | transfers 7 | failures 0 | retries 0 | bucket won | max 51
sweep 6064: WON +44 | transfers 8 | failures 0 | retries 0 | bucket won | max 49
sweep 6065: WON +38 | transfers 7 | failures 0 | retries 0 | bucket won | max 43
sweep 6066: WON +27 | transfers 7 | failures 0 | retries 0 | bucket won | max 41
sweep 6067: WON +37 | transfers 6 | failures 0 | retries 0 | bucket won | max 41
sweep 6068: WON +40 | transfers 7 | failures 0 | retries 0 | bucket won | max 51
sweep 6069: WON +31 | transfers 6 | failures 1 | retries 0 | bucket won | max 40
sweep 6070: WON +42 | transfers 8 | failures 0 | retries 0 | bucket won | max 48
sweep 6071: WON +35 | transfers 6 | failures 0 | retries 0 | bucket won | max 37
sweep 6072: WON +36 | transfers 7 | failures 0 | retries 0 | bucket won | max 40
sweep 6073: WON +33 | transfers 6 | failures 0 | retries 0 | bucket won | max 47
sweep 6074: WON +28 | transfers 8 | failures 0 | retries 0 | bucket won | max 41
sweep 6075: WON +21 | transfers 7 | failures 0 | retries 0 | bucket won | max 51
sweep 6076: WON +29 | transfers 6 | failures 0 | retries 0 | bucket won | max 42
sweep 6077: WON +34 | transfers 6 | failures 0 | retries 1 | bucket won | max 50
sweep 6078: LOST | transfers 2 | failures 1 | retries 0 | bucket died-in-opening | max 51
sweep 6079: WON +48 | transfers 6 | failures 0 | retries 0 | bucket won | max 51
sweep 6080: WON +35 | transfers 6 | failures 0 | retries 0 | bucket won | max 39
sweep 6081: WON +33 | transfers 7 | failures 0 | retries 0 | bucket won | max 38
sweep 6082: WON +35 | transfers 6 | failures 0 | retries 0 | bucket won | max 44
sweep 6083: WON +37 | transfers 8 | failures 2 | retries 3 | bucket won | max 44
sweep 6084: WON +31 | transfers 7 | failures 0 | retries 0 | bucket won | max 43
sweep 6085: WON +24 | transfers 6 | failures 0 | retries 0 | bucket won | max 34
sweep 6086: WON +42 | transfers 6 | failures 0 | retries 0 | bucket won | max 51
sweep 6087: WON +35 | transfers 16 | failures 3 | retries 8 | bucket won | max 42
sweep 6088: WON +36 | transfers 8 | failures 1 | retries 1 | bucket won | max 39
sweep 6089: WON +31 | transfers 9 | failures 2 | retries 0 | bucket won | max 45
sweep 6090: LOST | transfers 6 | failures 1 | retries 1 | bucket never-reached-assault-position | max 44
sweep 6091: WON +37 | transfers 9 | failures 1 | retries 2 | bucket won | max 44
sweep 6092: WON +35 | transfers 10 | failures 0 | retries 0 | bucket won | max 51
sweep 6093: WON +42 | transfers 7 | failures 0 | retries 1 | bucket won | max 46
sweep 6094: WON +34 | transfers 7 | failures 0 | retries 0 | bucket won | max 42
sweep 6095: WON +37 | transfers 5 | failures 0 | retries 1 | bucket won | max 39
sweep 6096: WON +23 | transfers 5 | failures 0 | retries 1 | bucket won | max 46
sweep 6097: WON +40 | transfers 6 | failures 0 | retries 0 | bucket won | max 45
sweep 6098: WON +33 | transfers 7 | failures 0 | retries 0 | bucket won | max 47
sweep 6099: WON +38 | transfers 7 | failures 0 | retries 0 | bucket won | max 42
